c.5.3.7,The debate between Date Palm and Tamarisk

c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C)

c.5.7.1,Enlil and Nam-zid-tara

c.5.7.2,A dog for Nintinuga

c.5.7.3,An axe for Nergal

c.5.5.4,The song of the hoe

c.5.5.5,The song of the ploughing oxen: an ululumama to Ninurta

c.5.5.2,An elegy on the death of Nannaya

c.5.5.3,An elegy on the death of Nawirtum

c.0.1.2,Ur III catalogue at Yale (Y1)

c.2.4.2.25,A praise poem of Šulgi (Šulgi Y)

c.2.4.2.24,A praise poem of Šulgi (Šulgi X)

c.2.4.2.26,A love song of Šulgi (Šulgi Z)

c.2.4.2.21,An adab (?) to Nergal for Šulgi (?) (Šulgi U)

c.2.4.2.20,A tigi to Ninurta for Šulgi (Šulgi T)

c.2.4.2.23,A praise poem of Šulgi (Šulgi W)

c.2.4.2.22,A dedication of a statue (Šulgi V)

c.5.7.a,Public announcement of the loss of a seal

c.1.1.4,Enki's journey to Nibru

c.1.1.2,Enki and Ninmah

c.1.1.3,Enki and the world order

c.1.1.1,Enki and Ninhursaŋa

c.2.8.2.2,A prayer to Enki for Hammu-rābi (Hammu-rābi B)

c.2.8.2.3,A praise poem of Hammu-rābi (Hammu-rābi C)

c.2.8.2.1,A praise poem of Hammu-rābi (Hammu-rābi A)

c.2.8.2.6,A prayer to Inana for Hammu-rābi (Hammu-rābi F)

c.2.8.2.4,A prayer to Asarluhi for Hammu-rābi (Hammu-rābi D)

c.2.8.2.5,A prayer for Hammu-rābi (Hammu-rābi E)

c.5.5.a,A drinking song

c.4.14.1,A hymn to Nanše (Nanše A)

c.4.14.2,A balbale to Nanše (Nanše B)

c.4.14.3,Nanše and the birds (Nanše C)

c.4.23.1,A hymn to Ninkasi (Ninkasi A)

c.2.5.4.24,A hymn to Enki (?) for Išme-Dagan (Išme-Dagan X)

c.2.5.4.27,A praise poem of Išme-Dagan (Išme-Dagan AA)

c.2.5.4.21,An adab to Dagan (?) for Išme-Dagan (Išme-Dagan U)

c.2.5.4.23,A hymn to Nibru and Išme-Dagan (Išme-Dagan W)

c.2.5.4.29,A hymn to Ninurta for Išme-Dagan

c.1.7.1,The marriage of Martu

c.1.7.3,Ninŋišzida's journey to the nether world

c.1.7.4,The Flood story

c.1.7.6,How grain came to Sumer

c.1.7.7,The šumunda grass

c.1.7.8,Pabilsaŋ's journey to Nibru

c.1.5.1,Nanna-Suen's journey to Nibru

c.3.3.39,Letter from Kug-Nanna to the god Ninšubur

c.1.3.4,Inana and Gudam

c.1.3.5,Inana and An

c.4.31.1,A hymn to Šul-pa-e (Šul-pa-e A)

c.1.3.1,Inana and Enki

c.1.3.2,Inana and Ebih

c.1.3.3,Inana and Šu-kale-tuda

c.4.33.1,A hymn to Sadarnuna (Sadarnuna A)

c.4.33.2,A hymn to Kusu (Kusu A)

